#z(m) u(m/s) V(1/s) T(K) rho(kg/m3) N2 H H2 O OH O2 H2O2 H2O HO2 CO CH3 CH2O CO2 CH4 C2H2 C2H4 CH2CO C2H6
0.0 0.6777431653322515 0.0 300.0 1.169855417920021 0.7180948648521969 -3.2560938116527415e-10 2.2659120016942942e-11 1.3435018103611306e-16 2.127923888676788e-18 0.21815270481355253 1.0344201263203109e-14 -5.6082017556643797e-14 1.7131581536645761e-09 -3.8596034624846956e-14 -3.223653320958046e-14 4.8741651005055275e-15 2.0860485765406117e-17 2.2915788966010384e-17 -1.1610982045818832e-16 0.0637524289241547 4.42854836639957e-18 -2.2434644891283946e-16
0.002166666666666667 0.6777447636734766 0.0 300.00073978018304 1.169852659234741 0.7180948646435259 -4.3052087397364785e-09 4.540487482429028e-10 5.443028908727838e-15 1.0197363685405851e-16 0.21815258463943416 7.507023324615334e-13 -3.786786732207189e-12 1.2565203256572698e-07 -2.8347350282563197e-12 -2.192240933380463e-12 4.74397095342085e-13 4.8129562902603776e-17 6.472652087881436e-16 -3.3448047753158084e-16 0.06375242892374976 2.346135955736226e-18 -6.371540800144044e-18
0.003666666666666667 0.6777466573182747 0.0 300.0015957350156 1.1698493908785046 0.7180948606138479 -8.753204323513077e-09 5.562165970680207e-09 5.691628994699735e-14 -5.347531894539004e-14 0.21815244458901686 2.0019980503080834e-12 -1.3155758804588318e-10 2.6919902380258665e-07 -2.2699044643261098e-10 -1.0477100466837451e-10 -8.290534917630348e-13 1.0128740967798164e-16 4.264912860306289e-15 -1.7456053712316583e-14 0.06375242925130456 -1.3348706591098815e-16 3.4199614526907665e-16
0.005166666666666667 0.6777503296147299 0.0 300.00297700880213 1.1698430526172077 0.7180948011724952 -1.3919455191339986e-08 7.799586724580802e-08 4.6738255910353235e-11 -2.645083901557625e-08 0.21815222003181345 2.002406107194565e-12 1.3861963270061373e-08 4.861355210909693e-07 2.2118167682706938e-08 1.1560540986135994e-08 3.0888330223168577e-10 2.4528359441165623e-15 1.3692070189409445e-13 1.1915868864982637e-12 0.06375240713497127 -1.2205718705455918e-16 -4.5542082720167085e-15
0.005916666666666667 0.6777554754459562 0.0 300.0036888626536 1.1698341708461986 0.7180944783683313 -1.4360816149544729e-08 4.720725046840396e-07 7.900505434475104e-11 -4.486405067508045e-08 0.21815203961162452 2.007203157834055e-12 2.3944419968404176e-08 5.95302811790711e-07 3.808139640760485e-08 1.9891987200245676e-08 5.089044067563572e-10 6.082138381415017e-14 2.1186316894498796e-12 2.074360904303118e-12 0.06375239135776746 -3.599901097061348e-17 -1.562464784919427e-13
0.006291666666666668 0.677766326859487 0.0 300.0037958689838 1.1698154411948196 0.7180935214785932 -1.0702426571074203e-08 1.6429833455489015e-06 8.662511910846701e-11 -4.937727689198817e-08 0.21815180422577593 2.0540621879904917e-12 2.7975064968821397e-08 6.104707040473884e-07 4.409187931586952e-08 2.2791477316195075e-08 5.902090605563116e-10 8.137554185501953e-13 2.0185693147957533e-11 2.5708621309102073e-12 0.0637523853626259 1.1835740261757756e-15 -2.2414757670082166e-12
0.006479166666666668 0.6777828946043088 0.0 300.0029831100442 1.169786845948706 0.7180918642542685 -5.121508459792493e-09 3.675346234758008e-06 6.071565844395436e-11 -3.4821312743228244e-08 0.21815154968121395 2.2988086790185242e-12 2.434890577811876e-08 4.783694411010881e-07 3.575992387556074e-08 1.763402548752052e-08 5.296381466867097e-10 5.860817847949938e-12 1.0752536907010375e-10 3.0455620434443656e-12 0.0637523938567454 1.0666752660044619e-14 -1.706248088859133e-11
0.006572916666666668 0.6777980207854423 0.0 300.0005803171553 1.169760739475379 0.718090014481207 -1.5599986309458796e-11 5.947275970564054e-06 -8.57902257456408e-14 -5.46638958783922e-11 0.21815151766191807 2.999705088978003e-12 1.0710255050080513e-08 7.442480952761127e-08 5.15276383396867e-09 5.915789406914661e-10 2.0926243125191744e-10 2.4038727029908418e-11 3.3986094225549483e-10 4.205302739621273e-12 0.0637524292653134 4.9961383490879925e-14 -7.389468593686291e-11
0.006666666666666667 0.6778362771475578 0.0 300.0009980834907 1.1696947194135918 0.7180866207260685 -4.9340543599479236e-14 1.0090981457013208e-05 -2.8498588928344328e-15 -8.768625376256456e-14 0.21815073077596464 6.126515773800926e-12 3.7398762224802034e-08 7.335470684711085e-08 1.3679691241636029e-08 6.327867187892437e-10 2.275985088580207e-10 1.1708808146654287e-10 1.2437103921097621e-09 1.90476099651946e-11 0.06375243089904893 3.2283446992419323e-13 -6.225142052274561e-11
0.006750000000000001 0.6778985247622104 0.0 300.00243680387064 1.1695873129131187 0.7180812204660233 -1.8296083445257867e-16 1.6640517971562072e-05 -4.324704736821899e-17 -1.634113580567374e-16 0.21814945712759093 1.7180226735945247e-11 1.2565151610715174e-07 7.381261908927654e-08 4.387301688515507e-08 8.59252925517406e-10 3.1102084777403974e-10 5.229200803779948e-10 4.240281901473832e-09 8.084366730831806e-11 0.06375243252608202 1.678377275986114e-12 -8.008795196151603e-12
0.006833333333333334 0.6780126510019566 0.0 300.0076759498219 1.1693904425343649 0.71807174027506 -7.914343183397722e-19 2.798756942846693e-05 5.627990062090309e-18 2.29467946264278e-18 0.21814714709252567 5.920673590024328e-11 4.3947819176516575e-07 7.556254875340531e-08 1.5816864767591097e-07 1.6667826035373712e-09 7.048065295166882e-10 2.4207338181595556e-09 1.4936169673237228e-08 3.5685727419775537e-10 0.06375243144152187 8.888016969570008e-12 2.5861444544261054e-10
0.006875 0.6781096384412947 0.0 300.0154822579432 1.1692231890628078 0.7180642338237897 6.153955179762111e-20 3.6778338048330416e-05 1.0679223537959714e-17 4.966509594692252e-18 0.21814521133133633 1.243792161718981e-10 8.971880908594393e-07 7.826750361663324e-08 3.3470117670965816e-07 2.8473025577908182e-09 1.4510555659312258e-09 5.985935767344267e-09 3.058967608079559e-08 8.536572019851712e-10 0.06375242369047106 2.4168291408144154e-11 7.833920643956496e-10
0.0069166666666666664 0.6782591685547869 0.0 300.0335855793053 1.1689654202070197 0.7180536705071741 1.5277626484950994e-19 4.878940792279061e-05 2.085417272490271e-17 1.0156242254118408e-17 0.21814226623572924 2.808586837994582e-10 1.9398361417767108e-06 8.474123090441438e-08 7.570926792607264e-07 5.541124501600983e-09 3.5853843906522722e-09 1.610432686234283e-08 6.635397189089639e-08 2.2115176265990773e-09 0.06375239569397934 7.244175578831926e-11 2.3355002525844374e-09
0.006958333333333333 0.6785028884416152 0.0 300.075545848729 1.168545524942882 0.7180385557199557 3.6046187275512157e-19 6.520043936628287e-05 4.409901101677167e-17 2.2051468703601115e-17 0.21813752492694338 6.565500588551066e-10 4.31481684231309e-06 1.0023306475450356e-07 1.7677115629803636e-06 1.168800812375541e-08 9.689322321896316e-09 4.4819550186577624e-08 1.4806316524298025e-07 5.92264081388405e-09 0.06375230816224557 2.249366187340154e-10 6.925818389755745e-09
