z (m),u (m/s),V (1/s),T (K),rho (kg/m3),N2,H,H2,O,OH,O2,H2O2,H2O,HO2,CO,CH3,CH2O,CO2,CH4,C2H2,C2H4,CH2CO,C2H6,C,CH,HCO,TXCH2,SXCH2,C2H3,C2H5,HCCO,CH3CHO,CH2CHO,C2H5O
0.32499999999999996,0.49431573775248494,0.0,298.00000000000216,1.1781107504218602,0.7273691750001576,1.8507991176599462e-28,2.9647664085087195e-19,4.7363368668626887e-26,2.4256336596228303e-26,0.22097018358125228,-3.359338459658674e-18,-6.554949190450646e-19,1.8375008473071322e-16,1.2292760076105868e-16,1.3925556955698053e-17,3.815899762780434e-18,2.1576575394039146e-18,7.894522497697305e-19,-3.3943674992190157e-18,0.051660641418589774,-5.147788273117479e-18,1.3972829801858248e-18,2.188434215530753e-42,-6.729690470758948e-43,8.718535017199648e-27,2.0334689727932398e-28,-3.2117637813112396e-35,5.31071301955399e-27,3.13282394155271e-26,1.9811082634274397e-39,4.1901808838608673e-17,4.521107707033945e-25,4.101997742543128e-24
0.33124999999999993,0.49431573775248494,0.0,298.00000000000216,1.17811075042186,0.7273691750001576,1.8535510152865764e-28,7.159929934508496e-18,4.7433667132226076e-26,2.4292337046190374e-26,0.22097018358125228,-3.359338482168666e-18,-6.55485179028918e-19,1.8375645477461435e-16,1.229317483793948e-16,1.3946225643778685e-17,3.8184829925097094e-18,2.1576877685652034e-18,7.909273616006549e-19,-3.3943544875226222e-18,0.051660641418589774,-5.147788270986636e-18,1.3754198070353988e-18,-3.87508770216224e-43,-3.564038421820824e-43,8.73147532204519e-27,2.036487135867817e-28,-3.210435254033383e-35,5.318595320519538e-27,3.1334938366247035e-26,1.9815045204898497e-39,4.1903968602903105e-17,4.527818071077721e-25,4.1080858079784474e-24
0.334375,0.49431573775248566,0.0,298.00000000000216,1.1781107504218582,0.7273691750001575,1.8549269288746237e-28,1.1453389048401106e-16,4.7468815466444174e-26,2.4310336811530298e-26,0.22097018358125226,-3.3593384899237356e-18,-6.554801685417223e-19,1.837596422599594e-16,1.229338237940044e-16,1.395655972391706e-17,3.819775572886354e-18,2.157702894866622e-18,7.916654506843752e-19,-3.394347977357548e-18,0.051660641418589774,-5.147788268908655e-18,1.3644880842360978e-18,-3.8810745617550937e-45,-7.975958956534906e-44,8.737945309241583e-27,2.0379961788685028e-28,-3.209771130082176e-35,5.322536370359499e-27,3.1338288135601964e-26,1.9817026981400283e-39,4.1905049291728185e-17,4.531173167417742e-25,4.111129762944685e-24
0.33749999999999997,0.4943157377525006,0.0,298.00000000000216,1.1781107504218225,0.7273691750001556,1.8563028026793333e-28,2.3900466095668014e-15,4.750396278644547e-26,2.4328336057541592e-26,0.22097018358125187,-3.359338497254318e-18,-6.554653643256368e-19,1.837628321263115e-16,1.2293590170584503e-16,1.3966893505868307e-17,3.8210691104453556e-18,2.157718032827392e-18,7.924043188380167e-19,-3.3943414623339216e-18,0.05166064141858979,-5.147788266811371e-18,1.3535562295951825e-18,-9.1693401302102e-44,2.7664452936961454e-43,8.744415109751198e-27,2.039505178324947e-28,-3.209107146522574e-35,5.3264773064816884e-27,3.134163817712036e-26,1.981900922832548e-39,4.19061307807117e-17,4.534528166951608e-25,4.114173630122571e-24
0.34062499999999996,0.4943157377528173,0.0,298.00000000000216,1.1781107504210677,0.7273691750001158,1.857678758706009e-28,5.0613639260405755e-14,4.753911219217589e-26,2.4346336371333155e-26,0.22097018358124335,-3.359338471352902e-18,-6.547507641662216e-19,1.837660259391716e-16,1.2293805590003412e-16,1.3977227900988784e-17,3.822363622905855e-18,2.1577332291244294e-18,7.931604461083677e-19,-3.39433493885947e-18,0.05166064141858998,-5.147788262394853e-18,1.3426242318351713e-18,-6.898392490954095e-44,-1.9661707991870474e-43,8.75088529411312e-27,2.041014267329114e-28,-3.208443242737825e-35,5.330418476444269e-27,3.134498897985527e-26,1.982099189018093e-39,4.1907213077129765e-17,4.537883365499128e-25,4.117217677332101e-24
0.3421875,0.4943157377553736,0.0,298.00000000000216,1.1781107504149753,0.7273691749997936,1.858369517285358e-28,4.3988184700857447e-13,4.755675778130664e-26,2.435537281451919e-26,0.22097018358117462,-3.359337656514339e-18,-6.356356201325449e-19,1.837676652661633e-16,1.2294131137382803e-16,1.3982415936637125e-17,3.823011367379242e-18,2.1577426105228215e-18,7.939904867051452e-19,-3.3943314908429343e-18,0.051660641418591564,-5.147788257554461e-18,1.3371582471657553e-18,-9.654881483251406e-43,3.5754937621973046e-43,8.754133431142031e-27,2.0417718552341135e-28,-3.2081098825251247e-35,5.332397008301498e-27,3.1346676535968457e-26,1.9821980654477447e-39,4.190775443796213e-17,4.539567727877375e-25,4.118745815353172e-24
0.34375,0.494315737783739,0.0,298.00000000000216,1.1781107503473716,0.7273691749962192,1.859160051061406e-28,4.75928117974688e-12,4.757695020588962e-26,2.436571298065807e-26,0.22097018358041204,-3.3593056030877175e-18,5.700590066167586e-20,1.837709303308776e-16,1.2302965467915426e-16,1.3988352655767643e-17,3.82367159854545e-18,2.157843363901591e-18,8.111296655729589e-19,-3.3943190242048446e-18,0.051660641418609154,-5.147788215414658e-18,1.3316953010506374e-18,-2.8014233913150034e-42,3.169170818565728e-43,8.757850252520908e-27,2.042638787951203e-28,-3.2077247990115693e-35,5.3346610603227076e-27,3.134881575209393e-26,1.9822871855268274e-39,4.190829612203245e-17,4.541495080939369e-25,4.120493651258652e-24
0.34453125,0.49431573790531547,0.0,298.0000000000023,1.1781107500576165,0.727369174980899,1.8609130261810436e-28,2.3272556693938482e-11,4.7621708672476964e-26,2.4388619275599464e-26,0.22097018357714357,-3.358825513884664e-18,9.556480360450778e-18,1.8379654545530032e-16,1.2433105688057453e-16,1.4001508880176994e-17,3.824240655522385e-18,2.159664429463558e-18,1.0424716773349374e-18,-3.394147759190078e-18,0.05166064141868452,-5.147787449211994e-18,1.3290276613148114e-18,-1.8585657849851306e-42,2.7717167042707474e-43,8.766085643980363e-27,2.0445604308362964e-28,-3.206827839819994e-35,5.339678346143968e-27,3.13563094212869e-26,1.982198705335183e-39,4.190856877188868e-17,4.545764204945257e-25,4.124345820140299e-24
0.3453125,0.49431573864062495,0.0,298.0000000000045,1.1781107483051418,0.7273691748882409,1.8875286903517776e-28,1.3524273281872713e-10,4.8301291944975893e-26,2.4736366790773044e-26,0.22097018355737547,-3.349073123676925e-18,1.8643536274230028e-16,1.8429813590695368e-16,1.5061075027979768e-16,1.420125385040943e-17,3.831086826641594e-18,2.207534847148109e-18,5.368190772257387e-18,-3.389923111651772e-18,0.05166064141914036,-5.147764126591112e-18,1.3281261399480795e-18,-1.4384831705770852e-42,-3.9569378724614423e-44,8.891115172906925e-27,2.0737374073111414e-28,-3.193029619508394e-35,5.415853421622003e-27,3.148695020641869e-26,1.9796760066485117e-39,4.190888880131308e-17,4.610573419601673e-25,4.182759081143912e-24
0.34609375,0.49431574308789966,0.0,298.0000000000469,1.178110737705879,0.7273691743278332,2.377781750593085e-28,8.124497668690671e-10,6.081937772947181e-26,3.11418966001271e-26,0.22097018343781524,-3.1509572975825037e-18,3.4798957473105113e-15,1.9440513314684782e-16,6.814780946478818e-16,1.7880589731661492e-17,4.005029616377913e-18,3.4683380171712434e-18,8.631002919100263e-17,-3.2847921376142455e-18,0.051660641421897364,-5.147046830006253e-18,1.3766585072992337e-18,1.6831277835684906e-42,-1.3068910996142434e-42,1.119417384025277e-26,2.611184274256461e-28,-2.938642994084428e-35,6.819010970613188e-27,3.402320099456833e-26,1.931899259655854e-39,4.19105643925973e-17,5.804360750532716e-25,5.25864430665123e-24
