#z(m) u(m/s) V(1/s) T(K) rho(kg/m3) N2 H H2 O OH O2 H2O2 H2O HO2 CO CH3 CH2O CO2 CH4 C2H2 C2H4 CH2CO C2H6 C CH HCO TXCH2 SXCH2 C2H3 C2H5 HCCO CH3CHO CH2CHO C2H5O
0.0 0.6698210049901289 0.0 300.0 1.1698554073196763 0.7180948646528701 1.1115056303775439e-15 2.4795340769220073e-11 1.0770902395684533e-19 1.7112934059181095e-15 0.21815270639170703 5.345693912057361e-15 3.108104399774338e-16 4.62187266380605e-16 9.150133308525346e-16 -3.702532024171769e-14 -3.4837752621267296e-15 1.693982271331288e-17 3.8858858647062405e-15 -3.633363169682655e-16 0.0637524289306115 1.742873314428068e-15 2.3312314935452485e-14 4.07541859409804e-14 -3.073205930068332e-14 -3.836179017387718e-21 4.213745614342315e-16 3.4466794060889183e-29 1.6091089541835902e-23 2.188008319935577e-20 8.652660069771885e-30 7.589994609137592e-15 1.6497741649996715e-19 1.5045312027531555e-18
0.002166666666666667 0.6698210091443657 0.0 300.00000000164744 1.1698554000642212 0.7180948642731426 8.114404968921454e-20 4.913439377820468e-10 5.008698332432855e-18 9.090873065109755e-19 0.21815270630458136 5.345827460833763e-15 2.352468309816369e-15 3.351119372864929e-14 6.639954482715074e-14 -2.884716418720137e-14 4.640293955391011e-15 1.6170529148292731e-15 3.949017315371952e-15 -3.6230568636241027e-16 0.06375242893078496 1.7428738606807443e-15 2.3312365034591643e-14 7.33370085575142e-20 -1.8247155785966914e-20 -3.674189297384132e-19 4.2777159502444726e-20 2.250164804262816e-27 1.4634785418843014e-21 2.2047177549509663e-18 -1.8592686263457512e-29 3.316855153186004e-14 1.8558228827883937e-17 1.9410844503076015e-16
0.003666666666666667 0.6698210577697677 0.0 300.0000000026517 1.1698553151390183 0.7180948598246931 1.6568866370785616e-23 5.956843343509098e-09 2.154105467116727e-21 1.363435719587685e-21 0.21815270528486674 5.3515519125593365e-15 7.781997512490054e-14 3.401392859800867e-14 8.14995638779037e-14 -2.864900705555292e-14 4.655275516432314e-15 1.6521004129234125e-15 6.475936770429551e-15 -3.549735249136573e-16 0.06375242893335582 1.7429096664098138e-15 2.331533039375759e-14 1.916401620519048e-25 -1.574358461009358e-26 2.9857477912721745e-22 1.397747569093697e-23 7.373679712038197e-31 -1.2992711481792525e-23 1.0971494466635987e-21 -1.0565497796648492e-31 3.338248414021029e-14 3.2437084907868936e-20 2.349652662414086e-18
0.005166666666666667 0.6698217398926426 0.0 300.0000000508704 1.1698541237995652 0.7180947974266007 -3.4689151144327117e-25 8.261882473020422e-08 -7.234690022755811e-23 -3.4687736849453306e-23 0.21815269098056406 5.642584245208466e-15 3.583934428996128e-12 4.9594872001337933e-14 8.433145085674843e-13 -1.957209483058773e-14 5.1935816941031274e-15 3.955035983795015e-15 1.2453521068632434e-13 1.0478975422558858e-16 0.06375242896935511 1.7456954275794718e-15 2.352479791193541e-14 5.056585437057689e-31 -1.3732402172628308e-32 -1.6838140220228952e-23 -3.914129046490797e-25 -2.0588246526030228e-32 -1.0460362162254556e-23 1.612874942111815e-24 -4.16789982308884e-34 3.339036107879765e-14 -8.425687794298715e-22 1.7654749950530582e-20
0.005916666666666667 0.6698254144927736 0.0 300.00000092586635 1.1698477060883223 0.7180944613830588 2.536034990033528e-24 4.954408518338443e-07 5.250620295850038e-22 2.628097734460679e-22 0.2181526139304626 1.1227523126887792e-14 6.510591063154891e-11 3.4658581559150984e-13 1.53781848601625e-11 1.399748991058198e-13 1.8841907693669324e-14 6.157995752303112e-14 2.2071421976321194e-12 1.0965392225538415e-14 0.06375242916228178 1.8273314163960154e-15 2.9100158726016926e-14 2.7695766466925682e-36 -2.4840604999578205e-38 1.2339386276377448e-22 2.8464367054626464e-24 1.6720233440171609e-31 7.483351544873639e-23 1.4381761594117632e-22 5.21962918348132e-31 3.357598001761128e-14 6.375893401868335e-21 5.641423884234947e-20
0.006291666666666668 0.6698362396710051 0.0 300.00000908331106 1.169828800258631 0.7180934722799795 2.889057900605676e-23 1.710173691134376e-06 5.9363300568098156e-21 2.96885701648803e-21 0.21815238701700979 6.621190240858758e-14 6.202554526046077e-10 3.251215183733625e-12 1.576700495736636e-10 1.5821513257196946e-12 1.9496521093115066e-13 7.969440516638898e-13 2.109681745534788e-11 1.4195557257681817e-13 0.06375242972411965 3.043933933123918e-15 1.0468391207125537e-13 -2.9380269489633407e-39 3.1271547620576315e-41 1.3943765009164617e-21 3.218177866011624e-23 1.727832350616834e-30 8.458459705214657e-22 1.4873673993171576e-21 3.6228792147827623e-28 3.632951620621944e-14 7.201659096932668e-20 6.266238799484641e-19
0.006479166666666668 0.6698549317329437 0.0 300.00004914497674 1.169796156605087 0.7180917684080749 1.5662667461537048e-22 3.8010742512245724e-06 3.1762388227294516e-20 1.585800054377544e-20 0.21815199554589523 3.5062475855641814e-13 3.263794920238656e-09 1.8181602974576562e-11 8.897475725883152e-10 8.460787961926397e-12 1.3755299395556634e-12 5.672901396516485e-12 1.1148696353727442e-10 9.646509615576911e-13 0.06375243067103703 1.2413572320530056e-14 6.359857071227837e-13 -4.3484809614209995e-40 -3.863129709148298e-40 7.452788653842103e-21 1.7218991233662975e-22 9.583664231122936e-30 4.523232379870478e-21 8.18174931512206e-21 6.401832548007016e-26 5.761760181838428e-14 3.8456931020628197e-19 3.2971128498873685e-18
0.006572916666666668 0.6698758367690095 0.0 300.0001575227096 1.1697596503909027 0.718089872777199 4.999052628213882e-22 6.123360869540563e-06 9.988273013055189e-20 4.9741599052136814e-20 0.21815155854107843 1.1573126104906225e-12 1.0218807815132818e-08 6.02874067667491e-11 2.9560164620200526e-09 2.6584837574883554e-11 5.627613439557605e-12 2.3057422171239028e-11 3.5035250244815864e-10 3.753849722568768e-12 0.06375243167237513 5.0836217880520175e-14 2.6361741088008035e-12 -3.4276166149393818e-40 1.3788824609977632e-40 2.3399469638784468e-20 5.414872119362903e-22 3.3528556507978917e-29 1.421232358319979e-20 2.6594537267630528e-20 2.9607267544239696e-24 1.4549922036789047e-13 1.2057665118034449e-18 1.0138610203238101e-17
0.006666666666666667 0.6699142848719447 0.0 300.0005845096905 1.16969251487766 0.7180864224305553 1.8556520190794125e-21 1.033660966672188e-05 3.6186387080333143e-19 1.801333835756699e-19 0.21815075754783722 4.476981205948976e-12 3.693538352712583e-08 2.326523828213318e-10 1.1420928065241368e-08 9.629947205950895e-11 2.746561551718988e-11 1.1149650750819181e-10 1.2716313381975847e-09 1.729220635876171e-11 0.06375243328003856 2.737303989294743e-13 1.3343233578829585e-11 1.2824552091750298e-39 1.542158053501761e-39 8.475261671695078e-20 1.9617618315591593e-21 1.692464676255569e-28 5.1483195532609045e-20 1.0069986823105473e-19 9.781829886100359e-23 6.590040477618765e-13 4.366289080493809e-18 3.6552073599648677e-17
0.006750000000000001 0.6699764671921963 0.0 300.0020175309928 1.169583952565425 0.7180809610315065 6.4986968402509975e-21 1.696207063018168e-05 1.2210922645696902e-18 6.074946574387203e-19 0.21814947033329932 1.6109724798689745e-11 1.244132791257909e-07 8.335326529215813e-10 4.095234108817723e-08 3.2487055433400093e-10 1.2270234773452384e-10 4.935739059788e-10 4.300205160655766e-09 7.312865126851491e-11 0.06375243496825687 1.3702686857046738e-12 6.198943783607593e-11 -2.4825987948465973e-40 1.6140861630785194e-38 2.858887498816297e-19 6.6199759481683575e-21 1.0996728886970858e-27 1.7369508374344617e-19 3.5783619321688123e-19 2.730777387091407e-21 3.2038648203873545e-12 1.4723454721593298e-17 1.226618341729109e-16
